Marca temporal,"✅ Declaración de consentimiento:

Al marcar la siguiente opción, declaro que he leído y comprendido la información entregada anteriormente y acepto participar de manera voluntaria en este estudio.",Años de experiencia,Años de trabajo en el hospital,Cargo,Sala de hospital donde trabaja actualmente,Nº estimado de interacciones con psiquiatría en el último mes,El equipo de psiquiatría de enlace responde de forma oportuna a las necesidades clínicas.,Es fácil contactar y coordinar con el equipo de psiquiatría de enlace cuando se requiere su intervención.,"Las recomendaciones del equipo son claras, útiles y aplicables a la práctica médica. ",Existe una buena comunicación entre el equipo tratante y el equipo de psiquiatría de enlace. ,"El equipo de psiquiatría de enlace participa activamente en la continuidad de cuidados tras el alta hospitalaria (ej. interconsultas, derivaciones a salud mental, coordinación con la familia, etc.)",La presencia del equipo de psiquiatría de enlace mejora la calidad de la atención brindada a los pacientes.,"Me siento apoyado/a por el equipo de psiquiatría de enlace en el manejo de pacientes con alteraciones del ánimo, conducta o sospecha de delirium",El equipo de psiquiatría aporta una perspectiva biopsicosocial valiosa en el manejo clínico.,El trabajo conjunto con psiquiatría de enlace ha contribuido a reducir mi carga de trabajo o el estrés clínico.,Considero que su intervención ha disminuido conflictos o dificultades con pacientes con alteraciones conductuales.,Estoy satisfecho/a con el funcionamiento general del equipo de psiquiatría de enlace. ,Considero que este modelo debiera mantenerse y/o extenderse a otras unidades del hospital. ,¿Qué aspectos del modelo actual de psiquiatría de enlace considera más positivos?,¿Qué aspectos considera que podrían mejorarse?
22/6/2026 20:38:53,Acepto participar en este estudio.,5,1,Becado/a,Sala J,2,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,"Rondas diarias por el servicio , atentos a inquietudes planteadas por el staff y becados",.
23/6/2026 11:45:43,Acepto participar en este estudio.,8,7,Staff,Sala J,15,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,Ni deacuerdo ni en desacuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,Ni deacuerdo ni en desacuerdo,Pro actividad y comunicación efectiva con el equipo ,"Pasar de a menos personas , grupo muy grande "
23/6/2026 12:45:50,Acepto participar en este estudio.,0,0,Interno/a,Medico quirurgico cardiológico,1,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Que acuden con todo el equipo y visitan cada servicio en posibilidad de pacientes y seguimiento de estos mismos,"No considero que se pueda mejorar algo por el momento, veo todo adecuado "
23/6/2026 17:58:49,Acepto participar en este estudio.,5,1,Becado/a,Agudo,2,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Accesibilidad ,Nada
24/6/2026 11:34:43,Acepto participar en este estudio.,5,5,Staff,Sala L,20,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,"Su constancia y la facilidad que es encontrar soluciones en conjunto con el equipo, responden muy positivamente al feedback que se le realiza desde los tratantes",Siento 
25/6/2026 10:33:32,Acepto participar en este estudio.,1,1,Becado/a,Sala J,3,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Que pregunten si necesitamos algo ,Nada 
25/6/2026 15:03:18,Acepto participar en este estudio.,3,3,Staff,Traumatología,2,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,"Proactividad, buena comunicación, buen trato, equipo multidisciplinario","Tener mas de una terapeuta ocupacional, es un gran aporte y podrian abarcar mas pacientes"
2/7/2026 7:06:04,Acepto participar en este estudio.,22,15,Staff,Sala L,8,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Ni deacuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,El apoyo integral en paciente psiquiátrico con patología médica aguda ,Nada por el momento 
2/7/2026 9:22:12,Acepto participar en este estudio.,8,6,Staff,Traumatología,16,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni deacuerdo ni en desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,La frecuencia de interaccion con el equipo. Tiempos de respuesta rapidos. Poder participar en la discusion de los casos. El equipo tiene una vision muy amplia de los pacientes y de la clinica y farmacologia relacionada con sus patologias.,Es dificil saber si los pacientes efectivamente continuan controles ambulatorios. 
3/7/2026 10:37:11,Acepto participar en este estudio.,5,0,Becado/a,Sala J,1,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Ni deacuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Ni deacuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Que pasen diariamente por las salas genera un abordaje oportuno y resolucion precoz de dudas,De momento no se me ocurre
4/7/2026 2:13:45,Acepto participar en este estudio.,5 años,3 meses,Becado/a,Medico quirurgico cardiológico,1,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,La capacidad de pesquisar tempranamente pacientes que requieren evaluación e intervenir rápidamente ,La comunicación del seguimiento y objetivos de intervenciones
7/7/2026 12:12:43,Acepto participar en este estudio.,10,6,Staff,Medico quirurgico cardiológico,15,De acuerdo,De acuerdo,Ni deacuerdo ni en desacuerdo,Muy de acuerdo,Ni deacuerdo ni en desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Ni deacuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Proactividad,Dar a entender mejor en que intervenciones se enfoca el equipo y cuales no son pertinentes para ellos
